Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
60007,33161,43.8,82234,41633,1198,3.612677543
60018,30037,39,64429,27653,3461,11.52245564
60068,37433,44.9,111740,57040,1413,3.77474421
60106,20341,36.4,64700,29158,2078,10.21582026
60131,17834,39.1,64128,26242,1660,9.30806325
60176,11621,41,54099,25324,1844,15.86782549
60601,15083,33.6,103112,101066,1368,9.069813698
60602,1145,34.1,191528,128502,17,1.484716157
60603,1052,31.2,146250,134620,142,13.49809886
60604,823,32.2,91750,101652,171,20.77764277
60605,29060,33.6,111438,81496,2322,7.990364763
60606,3287,36.3,140558,136766,265,8.062062671
60607,29293,30.2,102726,61178,5417,18.4924726
60608,80059,32.6,50133,23525,13468,16.82259334
60609,60939,32.3,37353,19096,16197,26.57903805
60610,40548,33.4,92130,88537,3899,9.615764033
60611,33224,38.9,106906,110762,3497,10.52552372
60612,33735,32.5,43545,28657,9908,29.37009041
60613,50761,33.6,84318,66016,5157,10.15937432
60614,71954,30.5,117138,88058,5614,7.802206966
60615,40590,35.3,45077,40429,9771,24.07243163
60616,54197,38,52162,37434,11916,21.98645681
60617,83553,36,41125,20827,19697,23.57425826
60618,94907,34.4,78704,43819,9748,10.27110751
60619,61207,40.9,35629,23492,15470,25.27488686
60620,67711,40.3,36767,20242,16599,24.51448066
60621,28018,34.6,22158,14361,11416,40.74523521
60622,53294,32,101161,63389,5898,11.06691185
60623,81283,31.3,32460,14883,24510,30.15390672
60624,34892,32.1,23429,14567,14526,41.6313195
60625,79444,34.9,68770,36668,10382,13.06832486
60626,50544,33.7,42747,28428,11794,23.33412472
60628,64254,39.2,41169,22047,14944,23.25769602
60629,110029,31.2,43506,18585,19443,17.67079588
60630,56433,40.5,73212,35388,5314,9.416476175
60631,29529,43.2,93989,49902,1795,6.078770023
60632,89857,30.9,44924,17870,16648,18.52721546
60633,12689,39.6,51538,24877,2224,17.52699188
60634,75082,39.7,70083,31184,5968,7.948642817
60636,30024,41.3,26724,16506,9549,31.80455635
60637,47300,30.6,28965,26563,15189,32.11205074
60638,58669,37.8,68089,30027,5143,8.76612862
60639,88204,34,46107,20341,16851,19.10457576
60640,69363,36.8,57221,43450,12879,18.56753601
60641,69880,36.9,63545,31687,7452,10.66399542
60642,19716,31.6,112241,68048,1737,8.810103469
60643,48887,43.6,65631,35456,6882,14.07736208
60644,46591,35.1,26900,16731,15411,33.07720375
60645,47270,35.6,57572,28875,9119,19.29130527
60646,28569,43.6,95593,49742,2052,7.182610522
60647,87633,32,78413,45878,12165,13.88175687
60649,46633,37.3,31921,25149,14577,31.25897969
60651,63492,33.5,38955,18382,15697,24.72279972
60652,43447,36.2,70702,26099,5532,12.73275485
60653,33154,34.4,31093,27910,10640,32.0926585
60654,20022,33.2,122492,113241,1411,7.047248027
60655,28569,39,102813,42644,1199,4.196856733
60656,28218,40.1,64440,36778,2129,7.544829541
60657,70958,31.2,95173,76546,5294,7.46075143
60659,42735,34.8,52239,23955,9942,23.26430326
60660,44498,36.2,50966,37526,6641,14.92426626
60661,10354,31.5,120000,90602,864,8.34460112
60706,23114,45.9,68808,34236,1664,7.199100112
60707,43093,40.5,61718,30699,3480,8.075557515
60714,29520,48.4,64790,32745,2609,8.838075881
60804,82383,30.5,49412,18500,13166,15.98145248
60827,28483,32.3,32329,19484,8654,30.38303549
